
------------------------------------------------
Spectral Mapping: meris to modis
------------------------------------------------

Dr. Said Kharbouche
ImagingGroup.MSSL.UCL
2016-06-08 16:12:21









##############################################################################
>>> polynom_2nd_order, SnowNoSnow, non-vegetated_land, sur_refl_b04_1
##############################################################################
sdr_1:sdr_7 3345.27717999
sdr_9 -126.956057009
sdr_8 1154.46440981
sdr_1:sdr_2 3538.12614425
sdr_1:sdr_3 -15789.9231499
sdr_8:sdr_9 -19652.3298983
sdr_4:sdr_11 4482.72109109
sdr_4:sdr_10 -17375.4521179
sdr_4:sdr_13 -24055.6028831
sdr_4:sdr_12 64586.6460209
sdr_4:sdr_15 21126.3384041
sdr_4:sdr_14 -4646.03303205
sdr_9:sdr_14 -84975.7961623
sdr_9:sdr_15 -113.052979918
sdr_9:sdr_12 -24850.0100674
sdr_9:sdr_13 96812.4282146
sdr_9:sdr_10 4512.62011478
sdr_9:sdr_11 7933.41387456

MSE: 0.00130030523544
<<<




##############################################################################
>>> polynom_2nd_order, SnowNoSnow, all_lc_classes, sur_refl_b01_1
##############################################################################
sdr_8:sdr_15 -295.606359252
sdr_8:sdr_14 -67040.0490606
sdr_8:sdr_11 3588.50396519
sdr_8:sdr_10 60163.3333919
sdr_5:sdr_6 1698.6561912
sdr_5:sdr_7 8525.39411003
sdr_5:sdr_8 -16065.6924443
sdr_5:sdr_9 7053.20535992
sdr_14:sdr_15 4173.15617997
sdr_8:sdr_13 83955.4883744
sdr_13:sdr_15 -4190.22751439
sdr_8:sdr_12 -60391.2226806
sdr_11:sdr_14 -4996.41969021
sdr_11:sdr_15 -438.50586343
sdr_1 -146.988820237
sdr_5:sdr_12 -2757.61386125
sdr_5:sdr_13 1461.21033935
sdr_5:sdr_10 821.259930206
sdr_5:sdr_11 54.8079249272
sdr_5:sdr_14 2110.62250371
sdr_5:sdr_15 -2300.35498115
Intercept -0.197495015501
sdr_13:sdr_14 -1057.93424578
sdr_6:sdr_15 2431.25552969
sdr_6:sdr_14 -16169.4517854
sdr_6:sdr_13 14004.9702675
sdr_6:sdr_12 -8404.31222628
sdr_6:sdr_11 -1363.21523877
sdr_6:sdr_10 7918.64503698
sdr_1:sdr_14 -22933.6741323
sdr_1:sdr_15 6168.03187128
sdr_1:sdr_12 -15360.6394216
sdr_1:sdr_13 19791.183898
sdr_1:sdr_10 21527.9276351
sdr_1:sdr_11 -2821.44108833
sdr_7:sdr_10 -59420.2988478
sdr_7:sdr_11 -4645.9087978
sdr_7:sdr_12 66718.3611213
sdr_7:sdr_13 -127263.767732
sdr_7:sdr_14 109183.250329
sdr_7:sdr_15 -1955.64047561
sdr_3:sdr_14 43024.9431137
sdr_3:sdr_15 -14573.6444326
sdr_3:sdr_10 4750.55477914
sdr_3:sdr_11 840.274778984
sdr_3:sdr_12 -18479.7542891
sdr_3:sdr_13 -30387.977605
sdr_2:sdr_13 -36919.1715103
sdr_2:sdr_12 35005.2460035
sdr_2:sdr_11 2985.41021174
sdr_2:sdr_10 -38379.6379394
sdr_2:sdr_15 -5569.04934843
sdr_2:sdr_14 36730.3853225
sdr_10:sdr_15 4588.02956825
sdr_10:sdr_14 8577.58407348
sdr_10:sdr_11 -1767.48173326
sdr_10:sdr_13 -17457.6116722
sdr_10:sdr_12 2848.02236762
sdr_2:sdr_9 16663.5725646
sdr_2:sdr_8 -62225.2729436
sdr_2:sdr_7 54897.1164516
sdr_2:sdr_6 -2610.18740625
sdr_2:sdr_5 3822.41645322
sdr_2:sdr_4 -2623.23817175
sdr_2:sdr_3 -3330.61313403
sdr_4:sdr_5 -8013.92020994
sdr_4:sdr_7 -553.394184358
sdr_4:sdr_6 -1260.31130484
sdr_4:sdr_9 -68775.7763485
sdr_4:sdr_8 58378.9811019
sdr_12:sdr_15 -2902.36814472
sdr_12:sdr_14 4664.80089472
sdr_12:sdr_13 1096.21591089
sdr_6:sdr_7 -16256.2247726
sdr_11:sdr_12 -149.352527116
sdr_6:sdr_9 -2604.44618837
sdr_6:sdr_8 19964.9263473
sdr_11:sdr_13 5686.90695159
sdr_7:sdr_8 -5530.99556227
sdr_7:sdr_9 33627.5849952
sdr_15 8.45692212888
sdr_14 -95.2501100078
sdr_3:sdr_8 -27071.4764199
sdr_3:sdr_9 63003.1255116
sdr_11 4.04148913444
sdr_10 31.6255560576
sdr_13 83.8354048542
sdr_12 -49.3191725096
sdr_3:sdr_6 -1007.8052463
sdr_3:sdr_7 -25936.3456375
sdr_3:sdr_4 2423.10129801
sdr_3:sdr_5 7814.34319473
sdr_5 36.2802923749
sdr_4 -330.415406003
sdr_7 -74.0716567609
sdr_6 -101.691881467
sdr_1:sdr_8 41769.9924508
sdr_1:sdr_9 -20636.8655556
sdr_3 308.630048427
sdr_2 141.023637573
sdr_1:sdr_4 5160.65926068
sdr_1:sdr_5 -4705.41692999
sdr_1:sdr_6 4619.30011798
sdr_1:sdr_7 -30988.9037246
sdr_9 -43.0624953877
sdr_8 222.841359002
sdr_1:sdr_2 1604.11354399
sdr_1:sdr_3 -2677.37150069
sdr_8:sdr_9 -29649.7778155
sdr_4:sdr_11 -881.370275421
sdr_4:sdr_10 11864.2269074
sdr_4:sdr_13 50249.8821115
sdr_4:sdr_12 1174.1397833
sdr_4:sdr_15 16221.7475483
sdr_4:sdr_14 -61998.5627486
sdr_9:sdr_14 -33692.0105071
sdr_9:sdr_15 -1084.46953741
sdr_9:sdr_12 -2043.65575949
sdr_9:sdr_13 40094.5018713
sdr_9:sdr_10 -6474.80704009
sdr_9:sdr_11 3654.12413124

MSE: 0.00126230712612
<<<




##############################################################################
>>> polynom_2nd_order, SnowNoSnow, all_lc_classes, sur_refl_b02_1
##############################################################################
sdr_8:sdr_15 -1171.87789516
sdr_8:sdr_14 -79005.2307068
sdr_8:sdr_11 1408.0928692
sdr_8:sdr_10 80772.9809508
sdr_5:sdr_6 3257.1298572
sdr_5:sdr_7 19.4722084107
sdr_5:sdr_8 -12829.9866912
sdr_5:sdr_9 11228.1155178
sdr_14:sdr_15 7659.18584365
sdr_8:sdr_13 102017.440395
sdr_13:sdr_15 -7886.7231214
sdr_8:sdr_12 -82026.0408544
sdr_11:sdr_14 -6566.81246713
sdr_11:sdr_15 -835.378507882
sdr_1 -146.030458364
sdr_5:sdr_12 -9074.93866074
sdr_5:sdr_13 4379.23890843
sdr_5:sdr_10 5562.71630842
sdr_5:sdr_11 -239.866509322
sdr_5:sdr_14 1009.69846484
sdr_5:sdr_15 -2902.60578477
Intercept -0.310799220468
sdr_13:sdr_14 -1588.99180644
sdr_6:sdr_15 3652.60448649
sdr_6:sdr_14 -21635.5930722
sdr_6:sdr_13 18346.6373307
sdr_6:sdr_12 -10752.0484304
sdr_6:sdr_11 -1249.5718548
sdr_6:sdr_10 11257.8142367
sdr_1:sdr_14 -26250.3859981
sdr_1:sdr_15 9040.33970375
sdr_1:sdr_12 -20715.1411896
sdr_1:sdr_13 21200.5223265
sdr_1:sdr_10 30955.0744232
sdr_1:sdr_11 -2694.35652995
sdr_7:sdr_10 -83753.3866476
sdr_7:sdr_11 -4380.06959757
sdr_7:sdr_12 94477.4584389
sdr_7:sdr_13 -164051.172659
sdr_7:sdr_14 140043.510052
sdr_7:sdr_15 -2407.92958537
sdr_3:sdr_14 42278.1712885
sdr_3:sdr_15 -18674.0935178
sdr_3:sdr_10 3603.67998126
sdr_3:sdr_11 1038.90217733
sdr_3:sdr_12 -28580.9180319
sdr_3:sdr_13 -25426.2451846
sdr_2:sdr_13 -46333.3115995
sdr_2:sdr_12 48061.7201968
sdr_2:sdr_11 2265.83286421
sdr_2:sdr_10 -53397.8945261
sdr_2:sdr_15 -8662.01523685
sdr_2:sdr_14 47267.6996653
sdr_10:sdr_15 6329.68625203
sdr_10:sdr_14 24669.5122184
sdr_10:sdr_11 -1504.97803346
sdr_10:sdr_13 -39257.1988171
sdr_10:sdr_12 4404.73341688
sdr_2:sdr_9 26853.0626993
sdr_2:sdr_8 -83367.5550337
sdr_2:sdr_7 72483.877392
sdr_2:sdr_6 -4365.71076677
sdr_2:sdr_5 4993.66746361
sdr_2:sdr_4 -8864.34895535
sdr_2:sdr_3 1087.4192114
sdr_4:sdr_5 -9805.04483446
sdr_4:sdr_7 51569.3022676
sdr_4:sdr_6 -5669.97798583
sdr_4:sdr_9 -97392.208049
sdr_4:sdr_8 29860.0376036
sdr_12:sdr_15 -3655.45332884
sdr_12:sdr_14 -3759.62847192
sdr_12:sdr_13 13581.9115573
sdr_6:sdr_7 -14537.6526778
sdr_11:sdr_12 -1008.86631088
sdr_6:sdr_9 -7901.26665202
sdr_6:sdr_8 22265.8414271
sdr_11:sdr_13 7958.03061429
sdr_7:sdr_8 -9264.12151489
sdr_7:sdr_9 40123.4132581
sdr_15 21.5749796557
sdr_14 -132.741243031
sdr_3:sdr_8 13216.6373672
sdr_3:sdr_9 88923.0943639
sdr_11 2.76079287381
sdr_10 131.683024116
sdr_13 112.579694485
sdr_12 -153.27941555
sdr_3:sdr_6 2621.60802065
sdr_3:sdr_7 -87412.4603167
sdr_3:sdr_4 3143.7714022
sdr_3:sdr_5 10114.4565809
sdr_5 67.7891351311
sdr_4 -400.672123543
sdr_7 -324.232644896
sdr_6 -106.770706965
sdr_1:sdr_8 47476.3315778
sdr_1:sdr_9 -32249.1803186
sdr_3 372.541894668
sdr_2 130.995139082
sdr_1:sdr_4 10950.12665
sdr_1:sdr_5 -6423.43586262
sdr_1:sdr_6 5725.15256848
sdr_1:sdr_7 -30827.7288593
sdr_9 -76.1255015304
sdr_8 496.798973853
sdr_1:sdr_2 2435.36518614
sdr_1:sdr_3 -8213.54370904
sdr_8:sdr_9 -31151.4649162
sdr_4:sdr_11 -236.149941399
sdr_4:sdr_10 15705.3230466
sdr_4:sdr_13 51664.6651836
sdr_4:sdr_12 7929.54917069
sdr_4:sdr_15 21178.419223
sdr_4:sdr_14 -68174.1840185
sdr_9:sdr_14 -55090.3301214
sdr_9:sdr_15 -1266.2750832
sdr_9:sdr_12 -7461.50140507
sdr_9:sdr_13 64051.6961597
sdr_9:sdr_10 -5848.88273254
sdr_9:sdr_11 5750.41408644

MSE: 0.00193013256834
<<<




##############################################################################
>>> polynom_1st_order, NoSnow, non-vegetated_land, sur_refl_b03_1
##############################################################################
sdr_5 -0.269910827076
sdr_4 -2.31159538053
sdr_7 -4.81176319813
sdr_6 0.828467818475
sdr_1 -3.56782624536
sdr_3 3.01768014771
sdr_2 3.70792277386
sdr_9 2.90414611134
sdr_8 2.36615622521
sdr_15 -0.457371784343
sdr_14 -0.605281134539
Intercept 0.0012455777159
sdr_11 0.333618813916
sdr_10 -3.5554663806
sdr_13 1.11216689491
sdr_12 1.97972427124

MSE: 0.00191213071257
<<<




##############################################################################
>>> polynom_1st_order, SnowNoSnow, non-vegetated_land, sur_refl_b04_1
##############################################################################
sdr_5 0.755877880705
sdr_4 1.71289625883
sdr_7 -2.99833358852
sdr_6 0.617011204412
sdr_1 -0.285087995034
sdr_3 -1.74522773479
sdr_2 0.59274281115
sdr_9 -0.50583124563
sdr_8 1.9633761688
sdr_15 0.192591506028
sdr_14 -1.27506061282
Intercept 0.00320223796086
sdr_11 -0.0242714365736
sdr_10 3.75239497528
sdr_13 1.83687411942
sdr_12 -3.67340689081

MSE: 0.0064482155443
<<<




##############################################################################
>>> polynom_2nd_order, SnowNoSnow, non-vegetated_land, sur_refl_b07_1
##############################################################################
sdr_8:sdr_15 3230.48828342
sdr_8:sdr_14 -77173.5000185
sdr_8:sdr_11 -2063.88363881
sdr_8:sdr_10 136355.948875
sdr_5:sdr_6 5682.05009409
sdr_5:sdr_7 -42981.193363
sdr_5:sdr_8 19668.7929221
sdr_5:sdr_9 19407.3771002
sdr_14:sdr_15 16185.6931271
sdr_8:sdr_13 107832.134523
sdr_13:sdr_15 -16114.4150116
sdr_8:sdr_12 -132332.174758
sdr_11:sdr_14 -7286.87800233
sdr_11:sdr_15 -1970.46293336
sdr_1 -105.105580583
sdr_5:sdr_12 -25900.7571647
sdr_5:sdr_13 15828.837963
sdr_5:sdr_10 18345.5889728
sdr_5:sdr_11 -1191.78043694
sdr_5:sdr_14 -6415.3018859
sdr_5:sdr_15 -3611.47580349
Intercept -0.325312646981
sdr_13:sdr_14 -3467.82107182
sdr_6:sdr_15 11975.9988055
sdr_6:sdr_14 -44142.8693338
sdr_6:sdr_13 36950.9386115
sdr_6:sdr_12 -23865.0412212
sdr_6:sdr_11 -2859.65239526
sdr_6:sdr_10 29807.2692364
sdr_1:sdr_14 -37989.1227911
sdr_1:sdr_15 16968.3198522
sdr_1:sdr_12 -15132.4159659
sdr_1:sdr_13 25218.8881652
sdr_1:sdr_10 34631.9464817
sdr_1:sdr_11 -1873.18544794
sdr_7:sdr_10 -187517.476208
sdr_7:sdr_11 -1865.07977029
sdr_7:sdr_12 195181.975634
sdr_7:sdr_13 -232958.669581
sdr_7:sdr_14 200202.614735
sdr_7:sdr_15 -17185.5201308
sdr_3:sdr_14 57605.6054318
sdr_3:sdr_15 -24308.0957914
sdr_3:sdr_10 -18521.0711347
sdr_3:sdr_11 -2565.07054897
sdr_3:sdr_12 -31721.1506386
sdr_3:sdr_13 -39816.029551
sdr_2:sdr_13 -57910.9325327
sdr_2:sdr_12 59673.4787895
sdr_2:sdr_11 1231.37643679
sdr_2:sdr_10 -70486.0753679
sdr_2:sdr_15 -18971.0812661
sdr_2:sdr_14 67497.2178902
sdr_10:sdr_15 11627.8194445
sdr_10:sdr_14 86101.4435963
sdr_10:sdr_11 -1291.02784645
sdr_10:sdr_13 -119094.443157
sdr_10:sdr_12 8247.81587154
sdr_2:sdr_9 53733.2741762
sdr_2:sdr_8 -155840.3105
sdr_2:sdr_7 128969.930312
sdr_2:sdr_6 -4953.33869061
sdr_2:sdr_5 9274.64458545
sdr_2:sdr_4 -35946.4720829
sdr_2:sdr_3 20385.9844616
sdr_4:sdr_5 -14577.6760558
sdr_4:sdr_7 278658.333815
sdr_4:sdr_6 -15797.1401052
sdr_4:sdr_9 -159326.98428
sdr_4:sdr_8 -150251.092331
sdr_12:sdr_15 -7705.98671312
sdr_12:sdr_14 -39698.9059194
sdr_12:sdr_13 63629.7449038
sdr_6:sdr_7 -8176.03976659
sdr_11:sdr_12 -1289.35888077
sdr_6:sdr_9 -27419.4737637
sdr_6:sdr_8 26471.5459313
sdr_11:sdr_13 9480.93564375
sdr_7:sdr_8 -13821.3718304
sdr_7:sdr_9 74765.335792
sdr_15 112.507718225
sdr_14 -480.905504644
sdr_3:sdr_8 230048.732572
sdr_3:sdr_9 146143.126131
sdr_11 -46.2005431449
sdr_10 736.826525878
sdr_13 454.109381778
sdr_12 -753.224560483
sdr_3:sdr_6 13237.8282031
sdr_3:sdr_7 -349375.023855
sdr_3:sdr_4 5851.16217264
sdr_3:sdr_5 17378.1777696
sdr_5 51.4774809681
sdr_4 -345.893181509
sdr_7 -1798.63147993
sdr_6 96.1213037499
sdr_1:sdr_8 53862.1126334
sdr_1:sdr_9 -62425.7641633
sdr_3 532.777742305
sdr_2 -75.3078025759
sdr_1:sdr_4 32759.6837904
sdr_1:sdr_5 -11846.6558912
sdr_1:sdr_6 2691.93256556
sdr_1:sdr_7 -13102.6898964
sdr_9 -46.4620755922
sdr_8 1660.29824141
sdr_1:sdr_2 5343.17806475
sdr_1:sdr_3 -28973.4017268
sdr_8:sdr_9 -52898.7262039
sdr_4:sdr_11 4723.83081794
sdr_4:sdr_10 42732.0087732
sdr_4:sdr_13 62263.2836434
sdr_4:sdr_12 6188.10127258
sdr_4:sdr_15 29658.4356767
sdr_4:sdr_14 -83940.9024061
sdr_9:sdr_14 -124873.755772
sdr_9:sdr_15 712.297151126
sdr_9:sdr_12 -49527.0224862
sdr_9:sdr_13 144254.517953
sdr_9:sdr_10 25189.2605139
sdr_9:sdr_11 8580.17466682

MSE: 0.00137493523809
<<<




##############################################################################
>>> polynom_2nd_order, SnowNoSnow, all_lc_classes, sur_refl_b03_1
##############################################################################
sdr_8:sdr_15 2760.36232888
sdr_8:sdr_14 -40520.4021026
sdr_8:sdr_11 1280.96404957
sdr_8:sdr_10 11130.2315471
sdr_5:sdr_6 539.952802733
